Order ID,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category
BN-2011-7407039,"Enermax Note Cards, Premium",0.5,$45.00,-$26.00,3,Office Supplies,Paper
AZ-2011-9050313,"Dania Corner Shelving, Traditional",0,$854.00,$290.00,7,Furniture,Bookcases
AZ-2011-6674300,"Binney & Smith Sketch Pad, Easy-Erase",0,$140.00,$21.00,3,Office Supplies,Art
BN-2011-2819714,"Boston Markers, Easy-Erase",0.5,$27.00,-$22.00,2,Office Supplies,Art
BN-2011-2819714,"Eldon Folders, Single Width",0.5,$17.00,-$1.00,2,Office Supplies,Storage
AZ-2011-617423,"Binney & Smith Pencil Sharpener, Water Color",0,$90.00,$21.00,3,Office Supplies,Art
AZ-2011-617423,"Sanford Canvas, Fluorescent",0,$207.00,$77.00,4,Office Supplies,Art
AZ-2011-2918397,"Bush Floating Shelf Set, Pine",0.1,$155.00,$36.00,1,Furniture,Bookcases
AZ-2011-2918397,"Accos Thumb Tacks, Assorted Sizes",0,$33.00,$2.00,3,Office Supplies,Fasteners
AZ-2011-2918397,"Smead Lockers, Industrial",0.1,$716.00,$143.00,4,Office Supplies,Storage
BN-2011-3248724,"Ikea Classic Bookcase, Metal",0.6,$987.00,"-$1,012.00",6,Furniture,Bookcases
BN-2011-3248724,"Binney & Smith Sketch Pad, Blue",0.5,$116.00,-$56.00,5,Office Supplies,Art
AZ-2011-7053593,"SAFCO Executive Leather Armchair, Red",0,"$1,384.00",$14.00,3,Furniture,Chairs
AZ-2011-7053593,"Binney & Smith Canvas, Blue",0,$103.00,$20.00,2,Office Supplies,Art
AZ-2011-6439906,"Bevis Training Table, with Bottom Storage",0.6,$268.00,-$342.00,2,Furniture,Tables
AZ-2011-4827146,"Boston Canvas, Fluorescent",0,$55.00,$10.00,1,Office Supplies,Art
AZ-2011-4827146,"Smead Trays, Single Width",0,$97.00,$31.00,2,Office Supplies,Storage
AZ-2011-6439906,"Novimex File Folder Labels, Alphabetical",0,$40.00,$6.00,5,Office Supplies,Labels
AZ-2011-6712797,"Ibico Hole Reinforcements, Recycled",0,$22.00,$7.00,3,Office Supplies,Binders
