Month of Order Date,Category,Target
Jan-11,Furniture,"$10,000.00"
Feb-11,Furniture,"$10,100.00"
Mar-11,Furniture,"$10,300.00"
Apr-11,Furniture,"$10,400.00"
May-11,Furniture,"$10,500.00"
Jun-11,Furniture,"$10,600.00"
Jul-11,Furniture,"$10,800.00"
Aug-11,Furniture,"$10,900.00"
Sep-11,Furniture,"$11,000.00"
Oct-11,Furniture,"$11,100.00"
Nov-11,Furniture,"$11,300.00"
Dec-11,Furniture,"$11,400.00"
Jan-12,Furniture,"$11,500.00"
Feb-12,Furniture,"$11,600.00"
Mar-12,Furniture,"$11,800.00"
Apr-12,Furniture,"$11,900.00"
May-12,Furniture,"$12,000.00"
Jun-12,Furniture,"$12,100.00"
Jul-12,Furniture,"$12,300.00"
Aug-12,Furniture,"$12,400.00"
Sep-12,Furniture,"$12,500.00"
Oct-12,Furniture,"$12,600.00"
Nov-12,Furniture,"$12,800.00"
Dec-12,Furniture,"$12,900.00"
Jan-13,Furniture,"$13,000.00"
Feb-13,Furniture,"$13,100.00"
Mar-13,Furniture,"$13,300.00"
Apr-13,Furniture,"$13,400.00"
May-13,Furniture,"$13,500.00"
Jun-13,Furniture,"$13,600.00"
Jul-13,Furniture,"$13,800.00"
Aug-13,Furniture,"$13,900.00"
Sep-13,Furniture,"$14,000.00"
Oct-13,Furniture,"$14,100.00"
Nov-13,Furniture,"$14,300.00"
Dec-13,Furniture,"$14,400.00"
Jan-14,Furniture,"$14,500.00"
Feb-14,Furniture,"$14,600.00"
Mar-14,Furniture,"$14,800.00"
Apr-14,Furniture,"$14,900.00"
May-14,Furniture,"$15,000.00"
Jun-14,Furniture,"$15,100.00"
Jul-14,Furniture,"$15,300.00"
Aug-14,Furniture,"$15,400.00"
Sep-14,Furniture,"$15,500.00"
Oct-14,Furniture,"$15,600.00"
Nov-14,Furniture,"$15,800.00"
Dec-14,Furniture,"$15,900.00"
Jan-11,Office Supplies,"$5,000.00"
Feb-11,Office Supplies,"$5,000.00"
Mar-11,Office Supplies,"$5,000.00"
Apr-11,Office Supplies,"$10,000.00"
May-11,Office Supplies,"$10,000.00"
Jun-11,Office Supplies,"$10,000.00"
Jul-11,Office Supplies,"$12,000.00"
Aug-11,Office Supplies,"$12,000.00"
Sep-11,Office Supplies,"$12,000.00"
Oct-11,Office Supplies,"$14,000.00"
Nov-11,Office Supplies,"$14,000.00"
Dec-11,Office Supplies,"$14,000.00"
Jan-12,Office Supplies,"$10,000.00"
Feb-12,Office Supplies,"$10,000.00"
Mar-12,Office Supplies,"$10,000.00"
Apr-12,Office Supplies,"$12,000.00"
May-12,Office Supplies,"$12,000.00"
Jun-12,Office Supplies,"$12,000.00"
Jul-12,Office Supplies,"$14,000.00"
